Group,N_total,VUS_n,VUS_%,PLP_n,PLP_%,BLB_n,BLB_%
EUR,2770,901,32.52707581227437,119,4.296028880866426,1140,41.15523465703971
Non-EUR,3199,1001,31.291028446389497,92,2.875898718349484,1422,44.45139105970616
